customer_id,name,total_orders
CUST048,Suresh Menon,6
CUST004,Neha Joshi,6
CUST011,Rohan Mehta,5
CUST016,Vikram Singh,4
CUST032,Kiran Chopra,4
CUST025,Aarav Desai,4
CUST006,Neha Sharma,4
CUST012,Sneha Patel,4
CUST017,Nikhil Mehta,3
CUST041,Lakshmi Kumar,3
CUST046,Neha Iyer,3
CUST008,Amit Iyer,3
CUST026,Pooja Nair,3
CUST037,Suresh Patel,3
CUST042,Amit Desai,3
CUST002,Aditya Shah,3
CUST047,Rohan Gupta,3
CUST028,Pooja Sharma,3
CUST038,Amit Tiwari,3
CUST005,Divya Joshi,3
CUST020,Arjun Verma,3
CUST043,Kavya Sharma,2
CUST013,Riya Verma,2
CUST018,Neha Shah,2
CUST003,Arjun Singh,2
CUST019,Vikram Patel,2
CUST009,Riya Verma,1
CUST050,Sneha Mehta,1
CUST014,Amit Iyer,1
CUST035,Rohan Joshi,1
CUST021,Sneha Chopra,1
CUST044,Meera Iyer,1
CUST027,Suresh Nair,1
CUST023,Kavya Joshi,1
CUST045,Aarav Sharma,1
CUST039,Vikram Joshi,1
CUST007,Pooja Rao,1
CUST029,Riya Reddy,1
CUST036,Priya Reddy,1
CUST031,Rohan Pillai,1
CUST030,Riya Das,0
CUST010,Kavya Menon,0
CUST001,Rohan Iyer,0
CUST024,Kavya Tiwari,0
CUST033,Lakshmi Gupta,0
CUST049,Neha Pillai,0
CUST040,Amit Menon,0
CUST034,Amit Mehta,0
CUST015,Divya Desai,0
CUST022,Divya Patel,0
